cancer_type,cancer_name,drug_type,drug_name,effectiveness,effect,side_effect
0,폐암,0,시스플라틴,0.72,DNA 복제 억제,"신독성, 발열, 감기"
0,폐암,1,카보플라틴,0.7,DNA 복제 억제 (백금 기반),"빈혈, 혈소판 감소, 메스꺼움, 전해질 문제, 알레르기"
0,폐암,2,젬시타빈,0.75,분열 중인 세포 사멸,"호흡곤란, 혈구감소증, 구역질, 골수 기능 억제"
0,폐암,3,면역관문억제제,0.73,"면역세포 활성화, 암세포 공격","피로, 발열, 피부발진, 자가면역질환 악화 가능"
1,대장암,0,플루오로유라실(5-FU),0.68,DNA와 RNA 합성 억제,"골수억제, 구토, 설사, 피로, 탈모"
1,대장암,1,옥살리플라틴,0.73,DNA 복제 억제 (백금 기반),"말초신경증, 혈구감소증, 저칼륨혈증"
1,대장암,2,카페시타빈(젤로다),0.71,체내에서 5-FU로 전환 후 암세포 공격,"심장문제, 설사, 혈액응고 문제, 쇠약"
1,대장암,3,이리노테칸,0.71,"체내에서 심장판막, DNA 복제 억제","설사, 호중구 감소, 구토, 피로"
2,위암,0,미토마이신 C,0.67,DNA/RNA 손상 유도,"신부전증, 식욕부진, 설사, 골수억제, 탈모"
2,위암,1,독소루비신(아드리아마이신),0.65,DNA 기능 간섭,"심장손상, 골수억제, 발진, 구내염"
2,위암,2,플루오로유라실(5-FU),0.68,DNA와 RNA 합성 억제,"골수억제, 구토, 설사, 피로"
2,위암,3,카페시타빈(젤로다),0.69,체내에서 5-FU로 전환 후 암세포 공격,"설사, 쇠약, 심장문제, 혈구 감소"
3,전립선암,0,도세탁셀,0.71,세포분열 억제 및 세포사 유도,"탈모, 세포감소증, 무감각, 숨가쁨, 메스꺼움"
3,전립선암,1,아비라테론 아세테이트(자이티가),0.68,남성호르몬 생성 억제,"고혈압, 간기능저하, 설사, 관절통"
3,전립선암,2,엔잘루타마이드,0.74,안드로겐 수용체 억제 후 암세포 성장 억제,"피로, 고혈압, 발작 위험, 체중 감소"
3,전립선암,3,아팔루타마이드,0.72,안드로겐 수용체 차단 후 세포 분열 억제,"발진, 갑상선 기능 저하, 골밀도 감소, 피로"
4,유방암,0,파클리탁셀(탁솔),0.7,세포분열 억제 및 세포사 유도,"탈모, 골수억제, 감각저하, 알레르기"
4,유방암,1,시클로포스파미드(CP),0.69,DNA 알킬화 (암세포 파괴),"출혈성 방광염, 구토, 탈모, 면역억제"
4,유방암,2,도세탁셀,0.73,미세소관 안정화 후 세포 분열 억제,"빈혈, 구토, 설사, 탈모, 피로"
4,유방암,3,트라스투주맙,0.75,HER2 수용체 차단 후 암세포 성장 억제,"심부전, 발열, 오한, 피로"
5,뇌교종,0,테모졸로마이드,0.78,DNA 알칼화 손상,"구토, 피로, 골수억제, 감염 위험 증가"
5,뇌교종,1,베바시주맙,0.74,혈관 내피세포 성장 억제,"고혈압, 출혈, 단백뇨, 상처 치유 지연"
5,뇌교종,2,카무스틴,0.72,DNA 복제 억제,"골수억제, 간독성, 폐섬유화, 구토"
5,뇌교종,3,이리노테칸,0.7,DNA 복제 중단,"설사, 백혈구 감소, 탈모, 피로"
